Date,Abrir,Alto,Baixo,Fechado,Volume,Dividendo,Ações,Ingresso
2023-04-13 00:00:00-04:00,9.408662517853971,9.49585288489139,9.361104410714464,9.424515724182129,13568700,0,0,PBR
2023-04-14 00:00:00-04:00,9.4007360941016,9.59097079405768,9.392810246708741,9.55926513671875,16852800,0,0,PBR
2023-04-17 00:00:00-04:00,9.598896026611328,9.622675835034228,9.511705663494709,9.598896026611328,16075800,0,0,PBR
2023-04-18 00:00:00-04:00,9.519632780911783,9.836689351131975,9.472073917417509,9.741572380065918,27060100,0,0,PBR
2023-04-19 00:00:00-04:00,9.543411640708488,9.559264846858495,9.226355076933114,9.242207527160645,27611000,0,0,PBR
2023-04-20 00:00:00-04:00,9.234280100094566,9.448293828487978,9.194648600100889,9.321471214294434,16229600,0,0,PBR
2023-04-21 00:00:00-04:00,9.305618153854653,9.353177012875898,9.147089883654537,9.194648742675781,12849900,0,0,PBR
2023-04-24 00:00:00-04:00,9.321471878881097,9.487926760858347,9.226354911454449,9.472073554992676,19775900,0,0,PBR
2023-04-25 00:00:00-04:00,9.495852622206314,9.551338086897482,9.250133978297082,9.369029998779297,22653200,0,0,PBR
2023-04-26 00:00:00-04:00,9.3690286349413,9.416587489764579,9.265985079426155,9.305617332458496,23313900,0,0,PBR
2023-04-27 00:00:00-04:00,9.456220444963115,9.464146291420231,9.051972794676301,9.115384101867676,35693000,0,0,PBR
2023-04-28 00:00:00-04:00,9.289002862156227,9.535769307164365,9.08630206387726,9.35950756072998,37526500,1,0,PBR
2023-05-01 00:00:00-04:00,9.306628393463294,9.526955761447459,9.236122862464729,9.26256275177002,14166400,0,0,PBR
2023-05-02 00:00:00-04:00,9.25374955626344,9.271376149325881,8.82190811202021,8.918851852416992,25490300,0,0,PBR
2023-05-03 00:00:00-04:00,8.910040068069563,9.077489368652861,8.82190960924678,8.927666664123535,24811100,0,0,PBR
2023-05-04 00:00:00-04:00,9.121554888404331,9.192059590651436,8.848348536835042,9.051050186157227,17398600,0,0,PBR
2023-05-05 00:00:00-04:00,9.236124068522,9.571021812446896,9.165619368799108,9.53576946258545,21439100,0,0,PBR
2023-05-08 00:00:00-04:00,9.6679666284131,9.764910382652456,9.526957225707731,9.571022033691406,15334300,0,0,PBR
2023-05-09 00:00:00-04:00,9.465264475383645,9.747284106192033,9.45645117806538,9.703218460083008,14440400,0,0,PBR
2023-05-10 00:00:00-04:00,9.747283653755037,9.861853151645352,9.61508672156411,9.791348457336426,21228900,0,0,PBR
2023-05-11 00:00:00-04:00,9.588647939976141,10.143873053577076,9.491704192705734,9.967611312866211,39401800,0,0,PBR
2023-05-12 00:00:00-04:00,10.170311812262433,10.646218918745062,9.377133581618805,10.452330589294434,33405000,0,0,PBR
2023-05-15 00:00:00-04:00,10.284882600093237,10.373013892008986,10.126246610837804,10.302508354187012,24686900,0,0,PBR
2023-05-16 00:00:00-04:00,10.443517682258069,10.760788792729489,10.373012991042199,10.38182544708252,32015800,0,0,PBR
2023-05-17 00:00:00-04:00,10.452331440057993,10.461144737678161,10.267256392446065,10.355387687683105,22621500,0,0,PBR
2023-05-18 00:00:00-04:00,10.249630418091,10.346574168388878,10.143873370361776,10.320135116577148,18480900,0,0,PBR
2023-05-19 00:00:00-04:00,10.337760870957533,10.417078866875027,10.284882767334073,10.320135116577148,15292400,0,0,PBR
2023-05-22 00:00:00-04:00,10.399453180150822,10.399453180150822,10.161499190850273,10.179125785827637,13505800,0,0,PBR
2023-05-23 00:00:00-04:00,10.328948855099766,10.549276257398501,10.240817557987336,10.390640258789062,13511000,0,0,PBR
2023-05-24 00:00:00-04:00,10.531648804074502,10.619780094009425,10.373013658866816,10.549275398254395,15163700,0,0,PBR
2023-05-25 00:00:00-04:00,10.434705685299978,10.496397087676513,10.29369628530657,10.355387687683105,17164400,0,0,PBR
2023-05-26 00:00:00-04:00,10.478770702499363,10.61096679691948,10.390639412564438,10.549275398254395,13145100,0,0,PBR
2023-05-30 00:00:00-04:00,10.399453167154332,10.434705516582694,10.20556482505719,10.337760925292969,17059300,0,0,PBR
2023-05-31 00:00:00-04:00,10.152687126293353,10.214378530134171,10.108621477628908,10.170312881469727,15827300,0,0,PBR
2023-06-01 00:00:00-04:00,10.232003860796041,10.575714897539712,10.205564808887237,10.558088302612305,18589800,0,0,PBR
2023-06-02 00:00:00-04:00,10.831294229453022,10.901798925521664,10.725537185350058,10.78722858428955,19578900,0,0,PBR
2023-06-05 00:00:00-04:00,10.989931402445515,11.025183754286077,10.82248210084107,10.884174346923828,15118200,0,0,PBR
2023-06-06 00:00:00-04:00,10.778415220061197,11.219069987988126,10.751976169320615,11.148565292358398,20975700,0,0,PBR
2023-06-07 00:00:00-04:00,11.457024181397795,11.53634217559233,11.351267135965843,11.465837478637695,27943500,0,0,PBR
2023-06-08 00:00:00-04:00,11.509902894866274,11.615659938189603,11.386519257414589,11.58922004699707,18612900,0,0,PBR
2023-06-09 00:00:00-04:00,11.589220247148033,12.170885256195358,11.57159449319754,12.126819610595703,31179400,0,0,PBR
2023-06-12 00:00:00-04:00,12.153257932835931,12.382398603824935,12.047500894029215,12.320706367492676,29494900,0,0,PBR
2023-06-13 00:00:00-04:00,12.37943456072255,12.528584235465853,12.267572304665073,12.370113372802734,32261300,0,0,PBR
2023-06-14 00:00:00-04:00,12.4540092171141,12.985356036918384,12.426043875756667,12.948068618774414,34606500,0,0,PBR
2023-06-15 00:00:00-04:00,13.246369138780501,13.292978637844922,12.817563347591882,12.854850769042969,30404200,0,0,PBR
